Movie,Studio,WWBO,DomBO,ForBO,Year












Avatar,Fox,2788000000,760500000,2027500000,2009
Titanic,Par,2187300000,659200000,1528100000,1997
Star Wars: The Force Awakens,BV,2068200000,936700000,1131600000,2015
Jurassic World,Uni,1671700000,652300000,1019400000,2015
The Avengers,BV,1518800000,623400000,895500000,2012
Furious 7,Uni,1516000000,353000000,1163000000,2015
Avengers: Age of Ultron,BV,1405400000,459000000,946400000,2015
Harry Potter and the Deathly Hallows Part 2,WB,1341500000,381000000,960500000,2011
Frozen,BV,1276500000,400700000,875700000,2013
Beauty and the Beast,BV,1263500000,504000000,759500000,2017
The Fate of the Furious,Uni,1235800000,225800000,1010000000,2017
Iron Man 3,BV,1214800000,409000000,805800000,2013
Minions,Uni,1519400000,336000000,823400000,2015
Captain America: Civil War,BV,1153300000,408100000,745200000,2016
Transformers: Dark of the Moon,P/DW,1123800000,352400000,771400000,2011
The Lord of the Rings: The Return of the King,NL,1119900000,377800000,742100000,2003
Skyfall,Sony,1108600000,304400000,804200000,2012
Transformers: Age of Extinction,Par,1104100000,245400000,858600000,2014
The Dark Knight Rises,WB,1084900000,448100000,636800000,2012
Toy Story 3,BV,1067000000,415000000,652000000,2010
Pirates of the Caribbean: Dead Man's Chest,BV,1066200000,423300000,642900000,2006
Rogue One: A Star Wars Story,BV,1056100000,532200000,523900000,2016
Pirates of the Caribbean: On Stranger Tides,BV,1045700000,241100000,804600000,2011
Despicable Me 3,Uni,1032300000,264500000,767800000,2017
Jurassic Park,Uni,1029200000,402500000,626700000,1993
Finding Dory,BV,1028600000,486300000,542300000,2016
Star Wars: Episode I - The Phantom Menance,Fox,1027000000,474500000,552500000,1999
Alice in Wonderland,BV,1025500000,334200000,691300000,2010
Zootopia,BV,1023800000,341300000,682500000,2016
The Hobbit: An Unexpected Journey,WB,1021100000,303000000,718100000,2012
The Dark Knight,WB,1004600000,5349000000,469700000,2008
Harry Potter and the Sorcerer's Stone,WB,974800000,317600000,657200000,2001
Despicable Me 2,Uni,9708000000,368100000,6027000000,2013
The Lion King,BV,968500000,422800000,545700000,1994
The Jungle Book,BV,966600000,364000000,602500000,2016
Pirates of the Caribbean: At World's End,BV,963400000,309400000,654000000,2007
Harry Potter and the Deathly Hallows Part 1,WB,960300000,258400000,664300000,2010
The Hobbit: The Desolation of Smaug,WB,958400000,258400000,700000000,2013
The Hobbit: The Battle of the Five Armies,WB,956000000,255100000,700900000,2014
Finding Nemo,BV,940300000,380800000,559500000,2003
Harry Potter and the Order of the Phoenix,WB,939900000,292000000,647900000,2007
Harry Potter and the Half-Blood Prince,WB,934400000,302000000,632500000,2009
The Lord of the Rings: The Two Towers,NL,926000000,342600000,583500000,2002
Shrek 2,DW,919800000,441200000,478600000,2004
Harry Potter and the Goblet of Fire,WB,896900000,290000000,606900000,2005
Spider-Man 3,Sony,890900000,336500000,554300000,2007
Ice Age: Dawn of the Dinosaurs,Fox,886700000,196600000,690100000,2009
Spectre,Sony,880700000,200100000,680600000,2015
Spider-Man: Homecoming,Sony,880200000,334200000,546000000,2017
Harry Potter and the Chamber of Secrets,WB,879000000,262000000,617000000,2002
