Movie,Year,Score,Budget,WWBO,DomBO,ForBO
The Shawshank Redemption,1994,9.3,25000000,28307092,28241469,65623
The Godfather,1972,9.2,7000000,268500000,134966411,133533589
The Godfather: Part II,1974,9.0,13000000,57300000,57300000, 0
The Dark Knight,2008,9.0,185000000,1001620618,533345358,468275260
Schindler's List,1993,8.9,25000000,321365567,96067179,225298388
Pulp Fiction,1994,8.9,8000000,212928762,107928762,105000000
The Lord of the Rings: The Return of the King,2003,8.9,94000000,1141403341,377845905,763557436
Fight Club,1999,8.8,65000000,100851705,37030102,63821603
The Lord of the Rings: The Fellowship of the Ring,2001,8.8,109000000,887210985,315544750,571666235
Forrest Gump,1994,8.7,55000000,679850637,330151138,349699499
Star Wars Ep. V: The Empire Strikes Back,1980,8.7,23000000,534171960,290271960,243900000
Inception,2010,8.7,160000000,832402082,292576195,539825887
The Lord of the Rings: The Two Towers,2002,8.7,94000000,934699645,342548984,592150661
One Flew Over the Cuckoo's Nest,1975,8.7,4400000,108981275,108981275,0
Goodfellas,1990,8.7,25000000,46777347,46743809,33538
The Matrix,1999,8.7,65000000,463517383,171479930,292037453
Star Wars: Episode IV: A New Hope,1977,8.6,11000000,786598007,460998007,325600000
City of God,2002,8.6,3300000,32059295,7563397,24495898
Se7en,1995,8.6,30000000,328125643,100125643,228000000
The Silence of the Lambs,1991,8.6,20000000,275726716,130726716,145000000
It's a Wonderful Life,1946,8.6,3180000,9576159,6600000,2976159
Life is Beautiful,1997,8.6,20000000,229385361,57598247,171787114
The Usual Suspects,1995,8.6,6000000,34449356,23341568,11107788
Leon: The Professional,1994,8.5,16000000,45284974,19284974,26000000
Saving Private Ryan,1998,8.5,65000000,485035085,216335085,268700000
American History X,1998,8.5,10000000,6719864,6719864,0
Interstellar,2014,8.5,165000000,667752422,188017894,479734528
The Green Mile,1999,8.5,60000000,290701374,136801374,153900000
The Pianist,2002,8.5,
Raiders of the Lost Ark,1981,8.5,
The Departed,2006,8.5,
Rear Window,1954,8.5,
Terminator 2,1991,8.5,
Back to the Future,1985,8.5,
Whiplash,2014,8.5,
Gladiator,2000,8.5,
Coco,2017,8.5,
The Prestige,2006,8.5,
